"Build","Renderer","ID","Outcome","Iterations","Samples","Average_us","Median_us","Minimum_us","Maximum_us","Total_us","Timing_use"
"candidate","opengl","game_load.pgr2_ai_backup.gpu_only","PASS","8","8","91617","91418.5","91183","92369","732938","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.pgr2_ai_backup.streaming_only","PASS","8","8","3204","3217","2883","3560","25636","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.pgr2_ai_backup.cpu_pfifo_gpu","PASS","8","8","148597","148595.5","147931","149306","1188776","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.pgr2_ai_backup.cpu_pfifo_gpu_streaming","PASS","8","8","150836","150603","150109","152225","1206690","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.pgr2_ai_backup.full_system","PASS","8","8","151239","150907.5","149876","154541","1209916","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","high_vertex_count.arrays","PASS","100","100","208","69.5","55","1961","20884","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","high_vertex_count.inline_arrays","PASS","10","10","44881","44810","44292","45857","448813","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","high_vertex_count.inline_buffers","PASS","5","5","228388","228085","225613","230558","1141941","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","high_vertex_count.inline_elements","PASS","50","50","3979","3952.5","3753","4615","198979","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","pfifo_array_elements.array_element_pgr2","PASS","8","8","1106","1199.5","409","1794","8855","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","pfifo_array_elements.array_element16","PASS","8","8","1316","1342","645","1869","10531","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","pfifo_array_elements.array_element32","PASS","8","8","1448","1320","1167","1959","11590","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","pfifo_packet_boundary.array_element16_overflow","PASS","1","1","15520","15520","15520","15520","15520","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","pfifo_packet_boundary.array_element32_overflow","PASS","1","1","30862","30862","30862","30862","30862","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","pfifo_packet_boundary.inline_array_overflow","PASS","1","1","31110","31110","31110","31110","31110","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","pfifo_packet_boundary.incrementing_inline_fallback","PASS","1","1","437","437","437","437","437","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","texture_cubemap_fallback.unbordered_subblock_dxt1","PASS","8","8","16685","16585.5","16201","17619","133487","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","pipeline_texture_switch.clear_texture_normal","PASS","8","8","9515","9419.5","9059","10157","76126","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","pipeline_texture_switch.palette_only_update","PASS","1","1","19302","19302","19302","19302","19302","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","pipeline_texture_switch.sampler_only_identity","PASS","8","8","22312","22253","22053","22705","178496","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","pipeline_texture_switch.shader_negative_control","PASS","8","8","18322","18328","17655","18798","146581","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","pipeline_texture_switch.shared_page_overlap","PASS","1","1","19588","19588","19588","19588","19588","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","pipeline_texture_switch.texture_switch","PASS","8","8","18410","18358","18108","18797","147282","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","primitive_type.line_loop.fixed_function","PASS","10","10","857","687","626","1794","8576","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","primitive_type.line_loop.vertex_shader","PASS","10","10","779","678","648","1168","7793","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","primitive_type.line_strip.fixed_function","PASS","10","10","805","718.5","673","1223","8055","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","primitive_type.line_strip.vertex_shader","PASS","10","10","690","674.5","546","957","6900","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","primitive_type.lines.fixed_function","PASS","10","10","1377","1349","1248","1728","13776","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","primitive_type.lines.vertex_shader","PASS","10","10","1426","1355","1284","2174","14262","Context only: live-marker waiver; no PR-grade performance claim"
