"Build","Renderer","ID","Outcome","Iterations","Samples","Average_us","Median_us","Minimum_us","Maximum_us","Total_us","Timing_use"
"previous-main","opengl","report_query.multiple_boundaries","PASS","4","4","749","676.5","295","1349","2997","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","report_query.single_boundary","PASS","4","4","559","576","334","751","2237","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","report_query.zero_query","PASS","4","4","144","30.5","20","495","576","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","surface.basic","PASS","10","10","15483","15380.5","14828","16509","154836","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","surface.cpu_read_after_gpu_write","PASS","20","20","573","633.5","288","1193","11465","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","surface.cpu_read_clean_surface","PASS","100","100","137","63","60","1005","13739","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","surface.framebuffer_working_set_002","PASS","20","20","1442","1605.5","1006","2198","28843","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","surface.framebuffer_working_set_008","PASS","20","20","1339","1203","967","1888","26780","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","surface.framebuffer_working_set_032","PASS","20","20","1385","1386","970","1847","27719","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","surface.framebuffer_working_set_064","PASS","20","20","1625","1594.5","1003","2163","32517","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","surface.full_clear_elision_guard","PASS","100","100","1420","1348.5","510","5601","142072","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","surface.overlapping_surface_churn_representative","PASS","100","100","2130","2001.5","1156","3243","213022","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","surface.overlapping_surface_churn_stress","PASS","10","10","27196","27148","26515","28218","271961","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","surface.partial_channel_clear_guard","PASS","100","100","1312","1312","651","2703","131225","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","surface.surface_download_path","PASS","10","10","12517","12420","11357","14397","125176","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","surface.surface_list_lookup_002","PASS","20","20","1566","1583","1071","1947","31334","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","surface.surface_list_lookup_008","PASS","20","20","1536","1557.5","1005","2266","30724","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","surface.surface_list_lookup_032","PASS","20","20","1404","1491.5","1042","2013","28091","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","surface.surface_list_lookup_128","PASS","20","20","1718","1662","1376","2262","34370","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","surface.vulkan_memory_pressure.representative.growth","PASS","4","4","13859","13181.5","12468","16606","55437","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","surface.vulkan_memory_pressure.representative.plateau","PASS","4","4","12906","12804","12466","13552","51626","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","surface.vulkan_memory_pressure.representative.alias_resize","PASS","4","4","14319","13658","12675","17286","57277","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","surface.vulkan_memory_pressure.representative.reuse","PASS","4","4","13739","12774.5","12477","16932","54958","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","surface.vulkan_memory_pressure.representative.idle_retention","PASS","4","4","737","736.5","607","871","2951","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","surface.vulkan_memory_pressure.stress.growth","PASS","4","4","54979","50556.5","49638","69166","219917","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","surface.vulkan_memory_pressure.stress.plateau","PASS","4","4","52245","52216","51006","53542","208980","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","surface.vulkan_memory_pressure.stress.alias_resize","PASS","4","4","57339","53901","51739","69815","229356","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","surface.vulkan_memory_pressure.stress.reuse","PASS","4","4","58189","53143","51311","75159","232756","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","surface.vulkan_memory_pressure.stress.idle_retention","PASS","4","4","861","860","850","874","3444","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","tiny_draw.arrays.fixed_function","PASS","10","10","22659","22659.5","21833","23242","226599","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","tiny_draw.arrays.vertex_shader","PASS","10","10","22756","22725.5","22428","23237","227567","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","tiny_draw.inline_arrays.fixed_function","PASS","10","10","77269","77315.5","74579","81986","772690","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","tiny_draw.inline_arrays.vertex_shader","PASS","10","10","77067","76961","74067","79221","770672","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","tiny_draw.inline_buffers.fixed_function","PASS","10","10","75184","75435.5","70849","80509","751847","Context only: live-marker waiver; no PR-grade performance claim"
