"Build","Renderer","ID","Outcome","Iterations","Samples","Average_us","Median_us","Minimum_us","Maximum_us","Total_us","Timing_use"
"candidate","vulkan","game_load.doax_menu_stress.cpu_only","PASS","8","8","26932","26873.5","26547","27412","215463","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.doax_menu_stress.pfifo_only","PASS","8","8","4963","4975.5","4830","5041","39705","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.doax_menu_stress.gpu_only","PASS","8","8","36046","35779","35249","37281","288369","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.doax_menu_stress.streaming_only","PASS","8","8","11296","10920.5","10783","12474","90375","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.doax_menu_stress.cpu_pfifo_gpu","PASS","8","8","68092","67922","66284","70130","544741","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.doax_menu_stress.cpu_pfifo_gpu_streaming","PASS","8","8","75949","75886","74580","77198","607596","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.doax_menu_stress.full_system","PASS","8","8","77942","77200.5","75476","82309","623536","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.pgr2_ai_backup.cpu_only","PASS","8","8","42344","42250.5","42034","42870","338759","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.pgr2_ai_backup.pfifo_only","PASS","8","8","15811","15883","15437","16008","126490","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.pgr2_ai_backup.gpu_only","PASS","8","8","92031","92162.5","90049","93894","736253","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.pgr2_ai_backup.streaming_only","PASS","8","8","3840","3822.5","3599","4059","30721","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.pgr2_ai_backup.cpu_pfifo_gpu","PASS","8","8","149625","149561.5","147841","152268","1197001","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.pgr2_ai_backup.cpu_pfifo_gpu_streaming","PASS","8","8","153259","153176.5","151427","155492","1226079","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.pgr2_ai_backup.full_system","PASS","8","8","154130","153814","151946","157292","1233044","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","high_vertex_count.arrays","PASS","100","100","158","86","74","6903","15889","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","high_vertex_count.inline_arrays","PASS","10","10","50531","50176","49806","52026","505315","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","high_vertex_count.inline_buffers","PASS","5","5","250638","250843","249315","252121","1253191","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","high_vertex_count.inline_elements","PASS","50","50","4016","4006","3925","4256","200822","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","pfifo_array_elements.array_element_pgr2","PASS","8","8","1276","488","462","6725","10215","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","pfifo_array_elements.array_element16","PASS","8","8","616","590","573","738","4932","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","pfifo_array_elements.array_element32","PASS","8","8","1050","1038","1016","1140","8402","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","pfifo_packet_boundary.array_element16_overflow","PASS","1","1","16749","16749","16749","16749","16749","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","pfifo_packet_boundary.array_element32_overflow","PASS","1","1","34082","34082","34082","34082","34082","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","pfifo_packet_boundary.inline_array_overflow","PASS","1","1","33476","33476","33476","33476","33476","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","pfifo_packet_boundary.incrementing_inline_fallback","PASS","1","1","104","104","104","104","104","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","texture_cubemap_fallback.unbordered_subblock_dxt1","PASS","8","8","15205","16722.5","3502","18062","121643","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","pipeline_texture_switch.clear_texture_normal","PASS","8","8","28094","28243.5","21915","32604","224753","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","pipeline_texture_switch.palette_only_update","PASS","1","1","25372","25372","25372","25372","25372","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","pipeline_texture_switch.sampler_only_identity","PASS","8","8","22931","23314","21658","23913","183454","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","pipeline_texture_switch.shader_negative_control","PASS","8","8","21001","20889.5","18040","24480","168008","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","pipeline_texture_switch.shared_page_overlap","PASS","1","1","19846","19846","19846","19846","19846","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","pipeline_texture_switch.texture_switch","PASS","8","8","20231","19470","18915","24703","161851","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","primitive_type.line_loop.fixed_function","PASS","10","10","1040","629.5","553","4800","10402","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","primitive_type.line_loop.vertex_shader","PASS","10","10","679","631","612","1073","6797","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","primitive_type.line_strip.fixed_function","PASS","10","10","860","632","602","2944","8608","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","primitive_type.line_strip.vertex_shader","PASS","10","10","673","633.5","611","1020","6733","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","primitive_type.lines.fixed_function","PASS","10","10","1436","1203","1148","3534","14360","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","primitive_type.lines.vertex_shader","PASS","10","10","1250","1220","1192","1543","12501","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","primitive_type.points.fixed_function","PASS","10","10","1200","632.5","569","6329","12007","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","primitive_type.points.vertex_shader","PASS","10","10","1253","627","602","6882","12537","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","primitive_type.polygon.fixed_function","PASS","10","10","886","631","600","3199","8862","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","primitive_type.polygon.vertex_shader","PASS","10","10","668","623","590","1066","6685","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","primitive_type.quad_strip.fixed_function","PASS","10","10","1800","1230","1141","6974","18005","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","primitive_type.quad_strip.vertex_shader","PASS","10","10","1418","1220","1168","3179","14186","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","primitive_type.quads.fixed_function","PASS","10","10","2372","2344","2290","2704","23721","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","primitive_type.quads.vertex_shader","PASS","10","10","2384","2340.5","2272","2715","23848","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","primitive_type.triangle_fan.fixed_function","PASS","10","10","898","633","599","3354","8988","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","primitive_type.triangle_fan.vertex_shader","PASS","10","10","668","630.5","610","999","6687","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","primitive_type.triangle_strip.fixed_function","PASS","10","10","657","622.5","595","993","6578","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","primitive_type.triangle_strip.vertex_shader","PASS","10","10","661","616","601","1012","6615","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","primitive_type.triangles.fixed_function","PASS","10","10","2056","1765.5","1691","4724","20565","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","primitive_type.triangles.vertex_shader","PASS","10","10","1823","1797","1677","2218","18237","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","report_query.clear_boundary","PASS","4","4","2043","1516.5","1044","4095","8172","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","report_query.dma_descriptor_rewrite","PASS","1","1","14578","14578","14578","14578","14578","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","report_query.dma_range_guard","FAIL","1","1","12026458","12026458","12026458","12026458","12026458","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","report_query.dma_target_switch","PASS","4","4","1463","1217.5","747","2670","5852","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","report_query.fifo_producer_ordering","PASS","4","4","2457","2212","1959","3445","9828","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","report_query.multiple_boundaries","PASS","4","4","1356","1202","1173","1849","5426","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","report_query.single_boundary","PASS","4","4","1491","1165","1155","2479","5964","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","report_query.zero_query","PASS","4","4","1381","1084","1051","2307","5526","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","surface.basic","PASS","10","10","41207","36380.5","34333","85590","412072","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","surface.cpu_read_after_gpu_write","PASS","20","20","2040","1848","1815","5279","40811","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","surface.cpu_read_clean_surface","PASS","100","100","61","59","58","126","6184","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","surface.framebuffer_working_set_002","PASS","20","20","2211","1933.5","1710","3395","44234","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","surface.framebuffer_working_set_008","PASS","20","20","2375","2282.5","1829","3210","47514","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","surface.framebuffer_working_set_032","PASS","20","20","2372","1929.5","1865","4228","47451","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","surface.framebuffer_working_set_064","PASS","20","20","2370","1998.5","1909","3513","47414","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","surface.full_clear_elision_guard","PASS","100","100","2791","2730.5","1622","4519","279185","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","surface.overlapping_surface_churn_representative","PASS","100","100","2795","2806.5","2471","3392","279533","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","surface.overlapping_surface_churn_stress","PASS","10","10","44283","44496.5","42556","46026","442832","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","surface.partial_channel_clear_guard","PASS","100","100","1806","1785","1522","2507","180685","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","surface.surface_download_path","PASS","10","10","33336","32440.5","31950","41188","333368","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","surface.surface_list_lookup_002","PASS","20","20","1768","1622","1516","2412","35362","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","surface.surface_list_lookup_008","PASS","20","20","1812","1679.5","1608","2445","36249","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","surface.surface_list_lookup_032","PASS","20","20","1838","1683.5","1595","2499","36767","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","surface.surface_list_lookup_128","PASS","20","20","2059","1920.5","1804","2843","41181","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","surface.vulkan_memory_pressure.representative.growth","PASS","4","4","33503","29616.5","28145","46637","134015","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","surface.vulkan_memory_pressure.representative.plateau","PASS","4","4","28207","28182.5","27852","28612","112829","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","surface.vulkan_memory_pressure.representative.alias_resize","PASS","4","4","31710","29771.5","28594","38706","126843","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","surface.vulkan_memory_pressure.representative.reuse","PASS","4","4","30570","28713.5","27939","36915","122281","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","surface.vulkan_memory_pressure.representative.idle_retention","PASS","4","4","709","647.5","639","903","2837","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","surface.vulkan_memory_pressure.stress.growth","PASS","4","4","128345","117819.5","115779","161963","513381","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","surface.vulkan_memory_pressure.stress.plateau","PASS","4","4","120019","119592.5","117875","123018","480078","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","surface.vulkan_memory_pressure.stress.alias_resize","PASS","4","4","132947","123881","121963","162066","531791","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","surface.vulkan_memory_pressure.stress.reuse","PASS","4","4","133289","126988.5","122937","156242","533156","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","surface.vulkan_memory_pressure.stress.idle_retention","PASS","4","4","1666","1551.5","1505","2056","6664","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","tiny_draw.arrays.fixed_function","PASS","10","10","23607","23680.5","22976","24280","236078","Context only: live-marker waiver; no PR-grade performance claim"
