target_pid,target_tid,last_switch_out_s,ready_s,switch_in_s,next_switch_out_s,waits_us,ready_us,cpu_usage_ms,count,cpu,readying_scope,readying_tid
6568,5992,41.313531900,41.313676500,41.313680500,41.313902700,144.600,4.000,0.222200,1,9,same_process,12564
6568,5992,41.313902700,41.314123100,41.314127000,41.314335500,220.400,3.900,0.208500,1,9,same_process,12564
6568,5992,41.314335500,41.314779700,41.314783500,41.315054200,444.200,3.800,0.270700,1,9,same_process,12564
6568,5992,41.315054200,41.315318600,41.315322400,41.315638300,264.400,3.800,0.315900,1,9,same_process,12564
6568,5992,41.315638300,41.316775300,41.316779700,41.317244800,"1,137.000",4.400,0.465100,1,12,same_process,12564
6568,5992,41.317244800,41.317265100,41.317269400,41.317281700,20.300,4.300,0.012300,1,7,same_process,12564
6568,5992,41.317281700,41.317287100,41.317290600,41.317300800,5.400,3.500,0.010200,1,7,same_process,12564
6568,5992,41.317300800,41.317376500,41.317380000,41.317423200,75.700,3.500,0.043200,1,9,same_process,12564
6568,5992,41.317423200,41.317664200,41.317668000,41.317974800,241.000,3.800,0.306800,1,9,same_process,12564
6568,5992,41.317974800,41.327248900,41.327253500,41.327685900,"9,274.100",4.600,0.432400,1,9,same_process,12560
6568,5992,41.327685900,41.328140100,41.328144400,41.328844500,454.200,4.300,0.700100,1,9,same_process,12560
6568,5992,41.328844500,41.330355600,41.330359300,41.330647900,"1,511.100",3.700,0.288600,1,9,idle,0
6568,5992,41.330647900,41.330648900,41.330652400,41.330665400,1.000,3.500,0.013000,1,9,same_process,12564
6568,5992,41.330665400,41.330924800,41.330929300,41.331428700,259.400,4.500,0.499400,1,9,same_process,12564
6568,5992,41.331428700,41.332886800,41.332891000,41.332905500,"1,458.100",4.200,0.014500,1,9,idle,0
6568,5992,41.332905500,41.333132500,41.333136100,41.333276900,227.000,3.600,0.140800,1,9,same_process,12564
6568,5992,41.333276900,41.333930100,41.333933800,41.333947700,653.200,3.700,0.013900,1,9,same_process,12564
6568,5992,41.333947700,41.333983900,41.333988000,41.334249600,36.200,4.100,0.261600,1,9,same_process,12564
