target_pid,target_tid,timestamp_s,weight_ms,count,leaf_class,leaf_module,xemu_rva
6568,5992,39.428365800,1.000000,1,external_module,ntoskrnl.exe,
6568,5992,39.686542800,1.000000,1,xemu_image,xemu.exe,0x00297edb
6568,5992,40.483714300,1.000000,1,external_module,ntoskrnl.exe,
6568,5992,40.629952400,1.000000,1,xemu_image,xemu.exe,0x0011e681
6568,5992,40.817393900,1.000000,1,external_module,graphics-hook64.dll,
6568,5992,29.451073600,1.000000,1,external_module,ntoskrnl.exe,
6568,5992,29.860962000,1.000000,1,external_module,ntoskrnl.exe,
6568,5992,33.467065100,1.000000,1,external_module,nvoglv64.dll,
6568,5992,34.165194400,1.000000,1,external_module,msvcrt.dll,
6568,5992,36.783922300,1.000000,1,external_module,ntoskrnl.exe,
6568,5992,22.709416100,1.000000,1,external_module,nvoglv64.dll,
6568,5992,22.998128100,1.000000,1,external_module,msvcrt.dll,
6568,5992,23.210815300,1.000000,1,xemu_image,xemu.exe,0x001d1ae4
6568,5992,23.781264900,1.000000,1,external_module,nvoglv64.dll,
6568,5992,24.283274600,1.000000,1,external_module,nvoglv64.dll,
6568,5992,25.019006900,1.000000,1,external_module,msvcrt.dll,
6568,5992,25.990540400,1.000000,1,xemu_image,xemu.exe,0x0011e65f
6568,5992,26.261469000,1.000000,1,external_module,ntoskrnl.exe,
6568,5992,27.211323300,1.000000,1,external_module,nvoglv64.dll,
6568,5992,27.354346800,1.000000,1,external_module,msvcrt.dll,
6568,5992,27.445359900,1.000000,1,xemu_image,xemu.exe,0x002968f2
6568,5992,27.492289600,1.000000,1,external_module,nvoglv64.dll,
6568,5992,27.893271500,1.000000,1,external_module,vulkan-1.dll,
6568,5992,28.278382700,1.000000,1,external_module,ntoskrnl.exe,
6568,5992,28.950001100,1.000000,1,xemu_image,xemu.exe,0x0029857c
6568,5992,29.461755700,1.000000,1,external_module,ntoskrnl.exe,
6568,5992,30.000694600,1.000000,1,xemu_image,xemu.exe,0x002aab88
6568,5992,31.652861000,1.000000,1,xemu_image,xemu.exe,0x0011e665
6568,5992,32.767545800,1.000000,1,xemu_image,xemu.exe,0x002b2a22
