test_id,kind,candidate_vulkan_outcome,candidate_vulkan_framebuffer_fnv1a64,candidate_opengl_outcome,candidate_opengl_framebuffer_fnv1a64,previous_main_opengl_outcome,previous_main_opengl_framebuffer_fnv1a64
pfifo_array_elements.array_element32,leaf,PASS,e079f0cf1a994325,PASS,e079f0cf1a994325,PASS,e079f0cf1a994325
pfifo_packet_boundary.array_element16_overflow,leaf,PASS,4d1756526f052325,PASS,4d1756526f052325,PASS,4d1756526f052325
pfifo_packet_boundary.array_element32_overflow,leaf,PASS,6eb7071be692a325,PASS,6eb7071be692a325,PASS,6eb7071be692a325
pfifo_packet_boundary.inline_array_overflow,leaf,PASS,847da1930526a325,PASS,847da1930526a325,PASS,847da1930526a325
pfifo_packet_boundary.incrementing_inline_fallback,leaf,PASS,640439ee8ecd2325,PASS,640439ee8ecd2325,PASS,640439ee8ecd2325
texture_cubemap_fallback.unbordered_subblock_dxt1,leaf,PASS,be0f2013c1997ca5,FAIL,0a68f0aa371576a5,FAIL,0a68f0aa371576a5
pipeline_texture_switch.clear_texture_normal,leaf,PASS,22ba4f1405cda325,PASS,22ba4f1405cda325,PASS,22ba4f1405cda325
pipeline_texture_switch.palette_dma_remap,leaf,PASS,fbf687de65082325,PASS,fbf687de65082325,PASS,fbf687de65082325
pipeline_texture_switch.palette_only_update,leaf,PASS,467aab2f95cda325,PASS,467aab2f95cda325,PASS,467aab2f95cda325
pipeline_texture_switch.sampler_only_identity,leaf,PASS,0b8438c8404da325,PASS,0b8438c8404da325,PASS,0b8438c8404da325
pipeline_texture_switch.shader_negative_control,leaf,PASS,f110c8bd6338c325,PASS,f110c8bd6338c325,PASS,f110c8bd6338c325
pipeline_texture_switch.shared_page_overlap,leaf,PASS,83bb59a8648da325,PASS,83bb59a8648da325,PASS,83bb59a8648da325
pipeline_texture_switch.texture_dma_remap,leaf,PASS,fbf687de65082325,PASS,fbf687de65082325,PASS,fbf687de65082325
pipeline_texture_switch.texture_switch,leaf,PASS,8ae05d31fb00c325,PASS,8ae05d31fb00c325,PASS,8ae05d31fb00c325
primitive_type.line_loop.fixed_function,leaf,PASS,f2158581ac6e3919,PASS,e029a36a3b91c6cc,PASS,e029a36a3b91c6cc
primitive_type.line_loop.vertex_shader,leaf,PASS,f2158581ac6e3919,PASS,e029a36a3b91c6cc,PASS,e029a36a3b91c6cc
primitive_type.line_strip.fixed_function,leaf,PASS,f2158581ac6e3919,PASS,05e55de77521d31a,PASS,05e55de77521d31a
primitive_type.line_strip.vertex_shader,leaf,PASS,f2158581ac6e3919,PASS,05e55de77521d31a,PASS,05e55de77521d31a
primitive_type.lines.fixed_function,leaf,PASS,1766a7f93aa72a14,PASS,e1c19d5c7e7898ab,PASS,e1c19d5c7e7898ab
primitive_type.lines.vertex_shader,leaf,PASS,1766a7f93aa72a14,PASS,e1c19d5c7e7898ab,PASS,e1c19d5c7e7898ab
primitive_type.points.fixed_function,leaf,PASS,5b296619f665c070,PASS,5b296619f665c070,PASS,5b296619f665c070
primitive_type.points.vertex_shader,leaf,PASS,5b296619f665c070,PASS,5b296619f665c070,PASS,5b296619f665c070
primitive_type.polygon.fixed_function,leaf,PASS,2c4beaa06aba1000,PASS,2c4beaa06aba1000,PASS,2c4beaa06aba1000
primitive_type.polygon.vertex_shader,leaf,PASS,2c4beaa06aba1000,PASS,2c4beaa06aba1000,PASS,2c4beaa06aba1000
primitive_type.quad_strip.fixed_function,leaf,PASS,f64b4495347cec73,PASS,f64b4495347cec73,PASS,f64b4495347cec73
primitive_type.quad_strip.vertex_shader,leaf,PASS,f64b4495347cec73,PASS,f64b4495347cec73,PASS,f64b4495347cec73
primitive_type.quads.fixed_function,leaf,PASS,114a1419338256e5,PASS,114a1419338256e5,PASS,114a1419338256e5
primitive_type.quads.vertex_shader,leaf,PASS,114a1419338256e5,PASS,114a1419338256e5,PASS,114a1419338256e5
primitive_type.triangle_fan.fixed_function,leaf,PASS,36644f0fd11db166,PASS,36644f0fd11db166,PASS,36644f0fd11db166
primitive_type.triangle_fan.vertex_shader,leaf,PASS,36644f0fd11db166,PASS,36644f0fd11db166,PASS,36644f0fd11db166
primitive_type.triangle_strip.fixed_function,leaf,PASS,d7b289579fdaa1ab,PASS,d7b289579fdaa1ab,PASS,d7b289579fdaa1ab
primitive_type.triangle_strip.vertex_shader,leaf,PASS,d7b289579fdaa1ab,PASS,d7b289579fdaa1ab,PASS,d7b289579fdaa1ab
primitive_type.triangles.fixed_function,leaf,PASS,72f05baf369ceb60,PASS,72f05baf369ceb60,PASS,72f05baf369ceb60
primitive_type.triangles.vertex_shader,leaf,PASS,72f05baf369ceb60,PASS,72f05baf369ceb60,PASS,72f05baf369ceb60
report_query.clear_boundary,leaf,PASS,b5eb7c4b9c8da325,PASS,b5eb7c4b9c8da325,PASS,b5eb7c4b9c8da325
report_query.dma_descriptor_rewrite,leaf,PASS,c0c0fdbececda325,PASS,c0c0fdbececda325,PASS,c0c0fdbececda325
report_query.dma_range_guard,leaf,FAIL,3f648ce11a4da325,FAIL,3f648ce11a4da325,FAIL,3f648ce11a4da325
report_query.dma_target_switch,leaf,PASS,4c4bd8cd440da325,PASS,4c4bd8cd440da325,PASS,4c4bd8cd440da325
report_query.fifo_producer_ordering,leaf,PASS,0d907c24a88da325,PASS,0d907c24a88da325,PASS,0d907c24a88da325
report_query.multiple_boundaries,leaf,PASS,0c966fc9ba4da325,PASS,0c966fc9ba4da325,PASS,0c966fc9ba4da325
report_query.single_boundary,leaf,PASS,60e674c9fecda325,PASS,60e674c9fecda325,PASS,60e674c9fecda325
report_query.zero_query,leaf,PASS,23875dfeb40da325,PASS,23875dfeb40da325,PASS,23875dfeb40da325
surface.basic,leaf,PASS,5a719d88d8221fb2,PASS,0f44c0df337b52bc,PASS,0f44c0df337b52bc
surface.cpu_read_after_gpu_write,leaf,PASS,76ea18af98322325,PASS,76ea18af98322325,PASS,76ea18af98322325
surface.cpu_read_clean_surface,leaf,PASS,d3267b427820a325,PASS,d3267b427820a325,PASS,d3267b427820a325
surface.framebuffer_working_set_002,leaf,PASS,9f3b0609a42777d5,PASS,9f3b0609a42777d5,PASS,9f3b0609a42777d5
surface.framebuffer_working_set_008,leaf,PASS,64cbf95dec8f59e5,PASS,64cbf95dec8f59e5,PASS,64cbf95dec8f59e5
surface.framebuffer_working_set_032,leaf,PASS,a6116feb11a28c25,PASS,a6116feb11a28c25,PASS,a6116feb11a28c25
surface.framebuffer_working_set_064,leaf,PASS,a6116feb11a28c25,PASS,a6116feb11a28c25,PASS,a6116feb11a28c25
surface.full_clear_elision_guard,leaf,PASS,4f05ccd43f43d495,PASS,4f05ccd43f43d495,PASS,4f05ccd43f43d495
surface.overlapping_surface_churn_representative,leaf,PASS,caf66d4bf5691525,PASS,caf66d4bf5691525,PASS,caf66d4bf5691525
surface.overlapping_surface_churn_stress,leaf,PASS,caf66d4bf5691525,PASS,caf66d4bf5691525,PASS,caf66d4bf5691525
surface.partial_channel_clear_guard,leaf,PASS,eb2cb498aa73af25,PASS,eb2cb498aa73af25,PASS,eb2cb498aa73af25
surface.surface_download_path,leaf,PASS,2b0e8aac0f8838e8,PASS,2b0e8aac0f8838e8,PASS,2b0e8aac0f8838e8
surface.surface_list_lookup_002,leaf,PASS,dce4c9394e7a3f35,PASS,dce4c9394e7a3f35,PASS,dce4c9394e7a3f35
surface.surface_list_lookup_008,leaf,PASS,bf1fe5b8fe78a94d,PASS,bf1fe5b8fe78a94d,PASS,bf1fe5b8fe78a94d
surface.surface_list_lookup_032,leaf,PASS,c6275b91195a5325,PASS,c6275b91195a5325,PASS,c6275b91195a5325
surface.surface_list_lookup_128,leaf,PASS,c6275b91195a5325,PASS,c6275b91195a5325,PASS,c6275b91195a5325
surface.vulkan_memory_pressure.representative.growth,leaf,PASS,c1b304b452852b25,PASS,c1b304b452852b25,PASS,c1b304b452852b25
surface.vulkan_memory_pressure.representative.plateau,leaf,PASS,730005d86af45b25,PASS,730005d86af45b25,PASS,730005d86af45b25
surface.vulkan_memory_pressure.representative.alias_resize,leaf,PASS,0c26236493b4d325,PASS,0c26236493b4d325,PASS,0c26236493b4d325
surface.vulkan_memory_pressure.representative.reuse,leaf,PASS,3ba0d18066aacb25,PASS,3ba0d18066aacb25,PASS,3ba0d18066aacb25
surface.vulkan_memory_pressure.representative.idle_retention,leaf,PASS,3a8651789ea0fa25,PASS,3a8651789ea0fa25,PASS,3a8651789ea0fa25
surface.vulkan_memory_pressure.representative,group,PASS,7e188dabb186cb25,PASS,7e188dabb186cb25,PASS,7e188dabb186cb25
surface.vulkan_memory_pressure.stress.growth,leaf,PASS,94cdb4bddb0e4b25,PASS,94cdb4bddb0e4b25,PASS,94cdb4bddb0e4b25
surface.vulkan_memory_pressure.stress.plateau,leaf,PASS,196f33989be28325,PASS,196f33989be28325,PASS,196f33989be28325
surface.vulkan_memory_pressure.stress.alias_resize,leaf,PASS,84a8d75f1f9d1b25,PASS,84a8d75f1f9d1b25,PASS,84a8d75f1f9d1b25
surface.vulkan_memory_pressure.stress.reuse,leaf,PASS,fb2a6abd1cbfc725,PASS,fb2a6abd1cbfc725,PASS,fb2a6abd1cbfc725
surface.vulkan_memory_pressure.stress.idle_retention,leaf,PASS,430711a262877725,PASS,430711a262877725,PASS,430711a262877725
surface.vulkan_memory_pressure.stress,group,PASS,7e188dabb186cb25,PASS,7e188dabb186cb25,PASS,7e188dabb186cb25
tiny_draw.arrays.fixed_function,leaf,PASS,acf025546cf667b5,PASS,acf025546cf667b5,PASS,acf025546cf667b5
tiny_draw.arrays.vertex_shader,leaf,PASS,acf025546cf667b5,PASS,acf025546cf667b5,PASS,acf025546cf667b5
tiny_draw.inline_arrays.fixed_function,leaf,PASS,acf025546cf667b5,PASS,acf025546cf667b5,PASS,acf025546cf667b5
tiny_draw.inline_arrays.vertex_shader,leaf,PASS,acf025546cf667b5,PASS,acf025546cf667b5,PASS,acf025546cf667b5
tiny_draw.inline_buffers.fixed_function,leaf,PASS,acf025546cf667b5,PASS,acf025546cf667b5,PASS,acf025546cf667b5
tiny_draw.inline_buffers.vertex_shader,leaf,PASS,acf025546cf667b5,PASS,acf025546cf667b5,PASS,acf025546cf667b5
tiny_draw.inline_elements.fixed_function,leaf,PASS,acf025546cf667b5,PASS,acf025546cf667b5,PASS,acf025546cf667b5
tiny_draw.inline_elements.vertex_shader,leaf,PASS,acf025546cf667b5,PASS,acf025546cf667b5,PASS,acf025546cf667b5
uniform_thrash.uniform_thrash,leaf,PASS,09eb5907ef624c25,PASS,09eb5907ef624c25,PASS,09eb5907ef624c25
vertex_buffer_allocation.mixed.arrays,leaf,PASS,377e6c029807f325,PASS,377e6c029807f325,PASS,377e6c029807f325
vertex_buffer_allocation.mixed.inline_arrays,leaf,PASS,377e6c029807f325,PASS,377e6c029807f325,PASS,377e6c029807f325
vertex_buffer_allocation.mixed.inline_buffers,leaf,PASS,377e6c029807f325,PASS,377e6c029807f325,PASS,377e6c029807f325
vertex_buffer_allocation.mixed.inline_elements,leaf,PASS,377e6c029807f325,PASS,377e6c029807f325,PASS,377e6c029807f325
vertex_buffer_allocation.tiny.arrays,leaf,PASS,377e6c029807f325,PASS,377e6c029807f325,PASS,377e6c029807f325
vertex_buffer_allocation.tiny.inline_arrays,leaf,PASS,377e6c029807f325,PASS,377e6c029807f325,PASS,377e6c029807f325
vertex_buffer_allocation.tiny.inline_buffers,leaf,PASS,377e6c029807f325,PASS,377e6c029807f325,PASS,377e6c029807f325
vertex_buffer_allocation.tiny.inline_elements,leaf,PASS,377e6c029807f325,PASS,377e6c029807f325,PASS,377e6c029807f325
vertex_buffer_allocation.rising_transient_growth,leaf,PASS,377e6c029807f325,PASS,377e6c029807f325,PASS,377e6c029807f325
vertex_buffer_allocation.disjoint_same_page,leaf,PASS,fdcd25a37910bb25,PASS,fdcd25a37910bb25,PASS,fdcd25a37910bb25
