gpu,test_id,kind,outcome,iterations,sample_count,guest_average_us,guest_median_us,framebuffer_fnv1a64
amd,busy_pfifo.pgraph_pattern_polling,leaf,PASS,1,1,4382224,4382224,386d0f085e98c325
amd,cpu_floating_point.sse_scalar,leaf,PASS,10,10,499221,498464.5,6962077c244da325
amd,cpu_floating_point.x87_scalar,leaf,PASS,10,10,787211,787375.0,6962077c244da325
amd,cpu_translation_blocks.direct_loop,leaf,PASS,10,10,9781,9717.0,bd1fc9bf0c318325
amd,cpu_translation_blocks.indirect_dispatch,leaf,PASS,10,10,41212,41050.0,c0426cf669a02325
amd,cpu_translation_blocks.indirect_dispatch_stress,leaf,PASS,10,10,825392,824679.0,fbd507cb0c622325
amd,fill_rate.solid,leaf,PASS,10,10,3937,1187.0,aa539e0bcd4e54b3
amd,fill_rate.textured,leaf,PASS,10,10,5926,1188.0,92f42c56c1fbe869
amd,game_load.long_unlocked_scene.cpu,leaf,PASS,8,8,24756,24685.5,4efd9244c4ad2325
amd,game_load.long_unlocked_scene.pfifo,leaf,PASS,8,8,4863,4835.0,4efd9244c4ad2325
amd,game_load.long_unlocked_scene.alpha_overdraw,leaf,PASS,8,8,33643,33710.5,4efd9244c4ad2325
amd,game_load.long_unlocked_scene.streaming_surface_reuse,leaf,PASS,8,8,12210,10826.0,4efd9244c4ad2325
amd,game_load.long_unlocked_scene.combined,leaf,PASS,8,8,73593,73020.5,4efd9244c4ad2325
amd,game_load.long_unlocked_scene.full_system,leaf,PASS,8,8,73624,73721.0,4efd9244c4ad2325
amd,game_load.long_unlocked_scene,group,PASS,0,0,0,,4efd9244c4ad2325
amd,game_load.cross_title_hotpath.queued_vertex_cpu_writes,leaf,PASS,8,8,84446,83101.0,ea21c900993ea325
amd,game_load.cross_title_hotpath.pgr2_small_draws,leaf,PASS,8,8,109050,104921.0,151015a16ca46325
amd,game_load.cross_title_hotpath.texture_update_reuse,leaf,PASS,8,8,3038,2986.0,44fcd2c900a5a325
amd,game_load.cross_title_hotpath.surface_reuse,leaf,PASS,8,8,7967,7895.0,37f87c4938cd6325
amd,game_load.cross_title_hotpath.pipeline_state_churn,leaf,PASS,8,8,66173,65431.5,4f8b2eab497ca325
amd,game_load.cross_title_hotpath.blend_constant_reuse,leaf,PASS,8,8,161379,164988.5,58e80f99c5a56325
amd,game_load.cross_title_hotpath.texture_binding_reuse,leaf,PASS,8,8,200222,200614.5,6b9bae4b9c97a325
amd,game_load.cross_title_hotpath.pgr2_lagspot_inline_elements,leaf,PASS,8,8,116884,116322.0,2b9db92162606325
amd,game_load.cross_title_hotpath.scaled_surface_pressure,leaf,PASS,8,8,447181,449420.0,32a69ec6dce52325
amd,game_load.cross_title_hotpath.s3tc_streaming_fenced_draws,leaf,PASS,8,8,1249435,1249398.5,1a65246e1a0ea325
amd,game_load.cross_title_hotpath.gpu_wait_control,leaf,PASS,8,8,1275,1210.5,e30500792076e325
amd,game_load.cross_title_hotpath,group,PASS,0,0,0,,e30500792076e325
amd,game_load.s3tc_sync_factor.dxt1_same_address_wait,leaf,PASS,8,8,17614,16700.5,3403675459d4d3d5
amd,game_load.s3tc_sync_factor.dxt1_same_address_queued,leaf,PASS,8,8,16959,16629.5,c8adc4f435bc2d77
amd,game_load.s3tc_sync_factor.dxt1_ring_payload_generations,leaf,PASS,8,8,15616,16345.0,3403675459d4d3d5
amd,game_load.s3tc_sync_factor.dxt1_dirty_once_redraw,leaf,PASS,8,8,15335,16470.0,428c04bbb0a62725
amd,game_load.s3tc_sync_factor.rgba8_same_address_wait,leaf,PASS,8,8,49848,49425.5,3403675459d4d3d5
amd,game_load.s3tc_sync_factor.rgba8_same_address_queued,leaf,PASS,8,8,48695,50039.5,c09a5d9bb8569b56
amd,game_load.s3tc_sync_factor.rgba8_ring_payload_generations,leaf,PASS,8,8,48998,49181.0,3403675459d4d3d5
amd,game_load.s3tc_sync_factor.rgba8_dirty_once_redraw,leaf,PASS,8,8,16076,16497.5,428c04bbb0a62725
amd,game_load.s3tc_sync_factor.bc2_native_eligible,leaf,PASS,8,8,16478,16430.5,3403675459d4d3d5
amd,game_load.s3tc_sync_factor.bc2_bordered_fallback,leaf,PASS,8,8,50336,50343.0,db28300321744de5
amd,game_load.s3tc_sync_factor.bc3_native_eligible,leaf,PASS,8,8,16608,16667.0,3403675459d4d3d5
amd,game_load.s3tc_sync_factor.bc3_bordered_fallback,leaf,PASS,8,8,50455,49710.0,db28300321744de5
amd,game_load.s3tc_sync_factor,group,PASS,0,0,0,,db28300321744de5
amd,game_load.repeated_display,leaf,PASS,8,8,16419,16626.5,e758dbbf4edc2325
amd,game_load.repeated_display_boosted,leaf,PASS,8,8,49905,49680.0,60315b1c33b6a325
amd,game_load.doax_menu_representative.cpu_only,leaf,PASS,8,8,13916,13855.5,c9ffff20249e2325
amd,game_load.doax_menu_representative.pfifo_only,leaf,PASS,8,8,2392,2360.0,db52eb2ea2ee6325
amd,game_load.doax_menu_representative.gpu_only,leaf,PASS,8,8,16284,16167.0,fbd6d6be7f982325
amd,game_load.doax_menu_representative.streaming_only,leaf,PASS,8,8,5946,5900.0,f94303d175056325
amd,game_load.doax_menu_representative.cpu_pfifo_gpu,leaf,PASS,8,8,33054,33036.0,e7cef8cc6b616325
amd,game_load.doax_menu_representative.cpu_pfifo_gpu_streaming,leaf,PASS,8,8,38460,38428.0,e6d7900d809f6325
amd,game_load.doax_menu_representative.full_system,leaf,PASS,8,8,39051,38636.5,3ebb8ee340a52325
amd,game_load.doax_menu_stress.cpu_only,leaf,PASS,8,8,27843,27835.0,312802588e58a325
amd,game_load.doax_menu_stress.pfifo_only,leaf,PASS,8,8,4704,4692.0,6251472ce3a6e325
amd,game_load.doax_menu_stress.gpu_only,leaf,PASS,8,8,32537,32586.5,30126b41ecb96325
amd,game_load.doax_menu_stress.streaming_only,leaf,PASS,8,8,10696,10725.0,5b922e3ee1312325
amd,game_load.doax_menu_stress.cpu_pfifo_gpu,leaf,PASS,8,8,65067,64917.5,354713be420ca325
amd,game_load.doax_menu_stress.cpu_pfifo_gpu_streaming,leaf,PASS,8,8,74631,74651.5,5dbf320b91a86325
amd,game_load.doax_menu_stress.full_system,leaf,PASS,8,8,74955,74080.0,545f7965debce325
amd,game_load.pgr2_ai_backup.cpu_only,leaf,PASS,8,8,43951,43864.5,e086b0a920c42325
amd,game_load.pgr2_ai_backup.pfifo_only,leaf,PASS,8,8,15850,15886.5,5bc1b07714da2325
amd,game_load.pgr2_ai_backup.gpu_only,leaf,PASS,8,8,84756,84297.5,f8348ac6eeaaa325
amd,game_load.pgr2_ai_backup.streaming_only,leaf,PASS,8,8,3731,3690.0,f43007e31b972325
amd,game_load.pgr2_ai_backup.cpu_pfifo_gpu,leaf,PASS,8,8,144939,144641.0,02abbdf01cf5a325
amd,game_load.pgr2_ai_backup.cpu_pfifo_gpu_streaming,leaf,PASS,8,8,147846,147723.5,e0430415b6dbe325
amd,game_load.pgr2_ai_backup.full_system,leaf,PASS,8,8,149093,149052.0,cb91c33db5046325
amd,high_vertex_count.arrays,leaf,PASS,100,100,458,94.0,e67a1ce72784a588
amd,high_vertex_count.inline_arrays,leaf,PASS,10,10,50225,45773.5,e67a1ce72784a588
amd,high_vertex_count.inline_buffers,leaf,PASS,5,5,232216,224357,e67a1ce72784a588
amd,high_vertex_count.inline_elements,leaf,PASS,50,50,3855,3846.5,e67a1ce72784a588
amd,pfifo_array_elements.array_element_pgr2,leaf,PASS,8,8,5059,487.5,bbc8b0702ffd0325
amd,pfifo_array_elements.array_element16,leaf,PASS,8,8,591,577.0,9c884de2a5d32325
amd,pfifo_array_elements.array_element32,leaf,PASS,8,8,1010,995.5,e079f0cf1a994325
amd,pfifo_packet_boundary.array_element16_overflow,leaf,PASS,1,1,15924,15924,4d1756526f052325
amd,pfifo_packet_boundary.array_element32_overflow,leaf,PASS,1,1,30957,30957,6eb7071be692a325
amd,pfifo_packet_boundary.inline_array_overflow,leaf,PASS,1,1,30602,30602,847da1930526a325
amd,pfifo_packet_boundary.incrementing_inline_fallback,leaf,PASS,1,1,102,102,640439ee8ecd2325
amd,texture_cubemap_fallback.unbordered_subblock_dxt1,leaf,PASS,8,8,21627,16618.0,be0f2013c1997ca5
amd,pipeline_texture_switch.clear_texture_normal,leaf,PASS,8,8,35384,31624.5,22ba4f1405cda325
amd,pipeline_texture_switch.palette_only_update,leaf,PASS,1,1,30619,30619,467aab2f95cda325
amd,pipeline_texture_switch.sampler_only_identity,leaf,PASS,8,8,20924,21256.0,0b8438c8404da325
amd,pipeline_texture_switch.shader_negative_control,leaf,PASS,8,8,28626,24969.0,f110c8bd6338c325
amd,pipeline_texture_switch.shared_page_overlap,leaf,PASS,1,1,19677,19677,83bb59a8648da325
amd,pipeline_texture_switch.texture_switch,leaf,PASS,8,8,20085,17904.0,8ae05d31fb00c325
amd,primitive_type.line_loop.fixed_function,leaf,PASS,10,10,2817,608.0,58a881515e92797f
amd,primitive_type.line_loop.vertex_shader,leaf,PASS,10,10,2410,603.0,58a881515e92797f
amd,primitive_type.line_strip.fixed_function,leaf,PASS,10,10,673,584.0,58a881515e92797f
amd,primitive_type.line_strip.vertex_shader,leaf,PASS,10,10,642,587.0,58a881515e92797f
amd,primitive_type.lines.fixed_function,leaf,PASS,10,10,1237,1160.0,52865ed0cfa6d0fe
amd,primitive_type.lines.vertex_shader,leaf,PASS,10,10,1189,1149.0,52865ed0cfa6d0fe
amd,primitive_type.points.fixed_function,leaf,PASS,10,10,1874,596.0,6813f0dbe94bac3c
amd,primitive_type.points.vertex_shader,leaf,PASS,10,10,1322,605.5,6813f0dbe94bac3c
amd,primitive_type.polygon.fixed_function,leaf,PASS,10,10,3235,617.5,e0d0b9dbefa71269
amd,primitive_type.polygon.vertex_shader,leaf,PASS,10,10,2836,613.0,e0d0b9dbefa71269
amd,primitive_type.quad_strip.fixed_function,leaf,PASS,10,10,5140,1165.0,e1f46a0779ee1f21
amd,primitive_type.quad_strip.vertex_shader,leaf,PASS,10,10,4825,1160.5,e1f46a0779ee1f21
amd,primitive_type.quads.fixed_function,leaf,PASS,10,10,5859,2238.0,d14f30833e638324
amd,primitive_type.quads.vertex_shader,leaf,PASS,10,10,5574,2255.0,d14f30833e638324
amd,primitive_type.triangle_fan.fixed_function,leaf,PASS,10,10,658,586.5,eadb3b4945fe25df
amd,primitive_type.triangle_fan.vertex_shader,leaf,PASS,10,10,631,607.5,eadb3b4945fe25df
