renderer,test_id,kind,baseline_outcome,main_outcome,pr85_outcome,parent_outcome,candidate_outcome,candidate_vs_baseline,pr85_vs_main,parent_vs_pr85,candidate_vs_parent,raw_direction,baseline_median_us,main_median_us,pr85_median_us,parent_median_us,candidate_median_us,improvement_parent_vs_pr85_pct,improvement_pr85_vs_main_pct,improvement_vs_baseline_pct,improvement_vs_parent_pct,baseline_hash,main_hash,pr85_hash,parent_hash,candidate_hash
vulkan,game_load.doax_menu_representative.pfifo_only,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,2368,2425,2477,2383,-2.14,-2.41,,+3.79,,db52eb2ea2ee6325,db52eb2ea2ee6325,db52eb2ea2ee6325,db52eb2ea2ee6325
vulkan,game_load.doax_menu_representative.streaming_only,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,5943,5846,5817,5958,+0.50,+1.63,,-2.42,,f94303d175056325,f94303d175056325,f94303d175056325,f94303d175056325
vulkan,game_load.doax_menu_stress.cpu_only,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,26931,26907,26950,27059,-0.16,+0.09,,-0.40,,312802588e58a325,312802588e58a325,312802588e58a325,312802588e58a325
vulkan,game_load.doax_menu_stress.cpu_pfifo_gpu,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,63385,64708,64850,66487,-0.22,-2.09,,-2.52,,c94959246d55a325,c94959246d55a325,c94959246d55a325,c94959246d55a325
vulkan,game_load.doax_menu_stress.cpu_pfifo_gpu_streaming,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,71904,73248,75304,75223,-2.81,-1.87,,+0.11,,5dbf320b91a86325,5dbf320b91a86325,5dbf320b91a86325,5dbf320b91a86325
vulkan,game_load.doax_menu_stress.full_system,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,73452,74012,74666,75580,-0.88,-0.76,,-1.22,,545f7965debce325,545f7965debce325,545f7965debce325,545f7965debce325
vulkan,game_load.doax_menu_stress.gpu_only,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,31671,32404,33564,34213,-3.58,-2.31,,-1.93,,30126b41ecb96325,30126b41ecb96325,30126b41ecb96325,30126b41ecb96325
vulkan,game_load.doax_menu_stress.pfifo_only,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,4773,4847,4876,4722,-0.60,-1.55,,+3.16,,6251472ce3a6e325,6251472ce3a6e325,6251472ce3a6e325,6251472ce3a6e325
vulkan,game_load.doax_menu_stress.streaming_only,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,11569,11845,10834,11188,+8.54,-2.39,,-3.27,,5b922e3ee1312325,5b922e3ee1312325,5b922e3ee1312325,5b922e3ee1312325
vulkan,game_load.long_unlocked_scene,group,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,,,,,,,,,,,,4efd9244c4ad2325,4efd9244c4ad2325,4efd9244c4ad2325,4efd9244c4ad2325
vulkan,game_load.long_unlocked_scene.alpha_overdraw,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,33731,33996,33514,34246,+1.42,-0.79,,-2.18,,4efd9244c4ad2325,4efd9244c4ad2325,4efd9244c4ad2325,4efd9244c4ad2325
vulkan,game_load.long_unlocked_scene.combined,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,73412,73977,73233,73133,+1.01,-0.77,,+0.14,,4efd9244c4ad2325,4efd9244c4ad2325,4efd9244c4ad2325,4efd9244c4ad2325
