renderer,test_id,kind,main_outcome,main_hash,main_median_us,pr85_outcome,pr85_hash,pr85_median_us,pr87_outcome,pr87_hash,pr87_median_us,pr89_outcome,pr89_hash,pr89_median_us,main_to_pr85_status,main_to_pr85_improvement_pct,pr85_to_pr87_status,pr85_to_pr87_improvement_pct,pr87_to_pr89_status,pr87_to_pr89_improvement_pct,main_to_pr89_status,main_to_pr89_improvement_pct
vulkan,game_load.doax_menu_representative.gpu_only,leaf,PASS,fbd6d6be7f982325,15946,PASS,fbd6d6be7f982325,16123,PASS,fbd6d6be7f982325,16116,PASS,fbd6d6be7f982325,16335,OUTCOME_AND_HASH_MATCH,-1.11,OUTCOME_AND_HASH_MATCH,+0.04,OUTCOME_AND_HASH_MATCH,-1.36,OUTCOME_AND_HASH_MATCH,-2.44
vulkan,game_load.doax_menu_representative.pfifo_only,leaf,PASS,db52eb2ea2ee6325,2368,PASS,db52eb2ea2ee6325,2381,PASS,db52eb2ea2ee6325,2399,PASS,db52eb2ea2ee6325,2439,OUTCOME_AND_HASH_MATCH,-0.55,OUTCOME_AND_HASH_MATCH,-0.76,OUTCOME_AND_HASH_MATCH,-1.67,OUTCOME_AND_HASH_MATCH,-3.00
vulkan,game_load.doax_menu_representative.streaming_only,leaf,PASS,f94303d175056325,5943,PASS,f94303d175056325,6065,PASS,f94303d175056325,6166,PASS,f94303d175056325,6087,OUTCOME_AND_HASH_MATCH,-2.05,OUTCOME_AND_HASH_MATCH,-1.67,OUTCOME_AND_HASH_MATCH,+1.28,OUTCOME_AND_HASH_MATCH,-2.42
vulkan,game_load.doax_menu_stress.cpu_only,leaf,PASS,312802588e58a325,26931,PASS,312802588e58a325,26960,PASS,312802588e58a325,26882,PASS,312802588e58a325,26895,OUTCOME_AND_HASH_MATCH,-0.11,OUTCOME_AND_HASH_MATCH,+0.29,OUTCOME_AND_HASH_MATCH,-0.05,OUTCOME_AND_HASH_MATCH,+0.13
vulkan,game_load.doax_menu_stress.cpu_pfifo_gpu,leaf,PASS,c94959246d55a325,63385,PASS,c94959246d55a325,63167,PASS,c94959246d55a325,63931,PASS,c94959246d55a325,64404,OUTCOME_AND_HASH_MATCH,+0.34,OUTCOME_AND_HASH_MATCH,-1.21,OUTCOME_AND_HASH_MATCH,-0.74,OUTCOME_AND_HASH_MATCH,-1.61
vulkan,game_load.doax_menu_stress.cpu_pfifo_gpu_streaming,leaf,PASS,5dbf320b91a86325,71904,PASS,5dbf320b91a86325,72353,PASS,5dbf320b91a86325,72991,PASS,5dbf320b91a86325,73716,OUTCOME_AND_HASH_MATCH,-0.62,OUTCOME_AND_HASH_MATCH,-0.88,OUTCOME_AND_HASH_MATCH,-0.99,OUTCOME_AND_HASH_MATCH,-2.52
vulkan,game_load.doax_menu_stress.full_system,leaf,PASS,545f7965debce325,73452,PASS,545f7965debce325,73435,PASS,545f7965debce325,73095,PASS,545f7965debce325,74080,OUTCOME_AND_HASH_MATCH,+0.02,OUTCOME_AND_HASH_MATCH,+0.46,OUTCOME_AND_HASH_MATCH,-1.35,OUTCOME_AND_HASH_MATCH,-0.85
vulkan,game_load.doax_menu_stress.gpu_only,leaf,PASS,30126b41ecb96325,31671,PASS,30126b41ecb96325,31969,PASS,30126b41ecb96325,31987,PASS,30126b41ecb96325,32864,OUTCOME_AND_HASH_MATCH,-0.94,OUTCOME_AND_HASH_MATCH,-0.06,OUTCOME_AND_HASH_MATCH,-2.74,OUTCOME_AND_HASH_MATCH,-3.77
vulkan,game_load.doax_menu_stress.pfifo_only,leaf,PASS,6251472ce3a6e325,4773,PASS,6251472ce3a6e325,4753,PASS,6251472ce3a6e325,4732,PASS,6251472ce3a6e325,4747,OUTCOME_AND_HASH_MATCH,+0.42,OUTCOME_AND_HASH_MATCH,+0.44,OUTCOME_AND_HASH_MATCH,-0.32,OUTCOME_AND_HASH_MATCH,+0.54
vulkan,game_load.doax_menu_stress.streaming_only,leaf,PASS,5b922e3ee1312325,11569,PASS,5b922e3ee1312325,11497,PASS,5b922e3ee1312325,11835,PASS,5b922e3ee1312325,11474,OUTCOME_AND_HASH_MATCH,+0.62,OUTCOME_AND_HASH_MATCH,-2.94,OUTCOME_AND_HASH_MATCH,+3.05,OUTCOME_AND_HASH_MATCH,+0.82
vulkan,game_load.long_unlocked_scene,group,PASS,4efd9244c4ad2325,,PASS,4efd9244c4ad2325,,PASS,4efd9244c4ad2325,,PASS,4efd9244c4ad2325,,OUTCOME_AND_HASH_MATCH,,OUTCOME_AND_HASH_MATCH,,OUTCOME_AND_HASH_MATCH,,OUTCOME_AND_HASH_MATCH,
vulkan,game_load.long_unlocked_scene.alpha_overdraw,leaf,PASS,4efd9244c4ad2325,33731,PASS,4efd9244c4ad2325,34031,PASS,4efd9244c4ad2325,33992,PASS,4efd9244c4ad2325,34325,OUTCOME_AND_HASH_MATCH,-0.89,OUTCOME_AND_HASH_MATCH,+0.11,OUTCOME_AND_HASH_MATCH,-0.98,OUTCOME_AND_HASH_MATCH,-1.76
vulkan,game_load.long_unlocked_scene.combined,leaf,PASS,4efd9244c4ad2325,73412,PASS,4efd9244c4ad2325,75224,PASS,4efd9244c4ad2325,75139,PASS,4efd9244c4ad2325,74584,OUTCOME_AND_HASH_MATCH,-2.47,OUTCOME_AND_HASH_MATCH,+0.11,OUTCOME_AND_HASH_MATCH,+0.74,OUTCOME_AND_HASH_MATCH,-1.60
vulkan,game_load.long_unlocked_scene.cpu,leaf,PASS,4efd9244c4ad2325,24164,PASS,4efd9244c4ad2325,23842,PASS,4efd9244c4ad2325,24259,PASS,4efd9244c4ad2325,23756,OUTCOME_AND_HASH_MATCH,+1.33,OUTCOME_AND_HASH_MATCH,-1.75,OUTCOME_AND_HASH_MATCH,+2.07,OUTCOME_AND_HASH_MATCH,+1.69
vulkan,game_load.long_unlocked_scene.full_system,leaf,PASS,4efd9244c4ad2325,74508,PASS,4efd9244c4ad2325,75158,PASS,4efd9244c4ad2325,74854,PASS,4efd9244c4ad2325,76040,OUTCOME_AND_HASH_MATCH,-0.87,OUTCOME_AND_HASH_MATCH,+0.40,OUTCOME_AND_HASH_MATCH,-1.58,OUTCOME_AND_HASH_MATCH,-2.06
vulkan,game_load.long_unlocked_scene.pfifo,leaf,PASS,4efd9244c4ad2325,4781,PASS,4efd9244c4ad2325,4866,PASS,4efd9244c4ad2325,4750,PASS,4efd9244c4ad2325,4775,OUTCOME_AND_HASH_MATCH,-1.78,OUTCOME_AND_HASH_MATCH,+2.38,OUTCOME_AND_HASH_MATCH,-0.53,OUTCOME_AND_HASH_MATCH,+0.13
