test_id,kind,parent_outcome,candidate_outcome,parent_hash,candidate_hash,parent_median_us,candidate_median_us,status,improvement_pct
game_load.pgr2_ai_backup.streaming_only,leaf,PASS,PASS,f43007e31b972325,f43007e31b972325,4229,4498,OUTCOME_AND_HASH_MATCH,-6.36
game_load.repeated_display,leaf,PASS,PASS,e758dbbf4edc2325,e758dbbf4edc2325,16625,16581,OUTCOME_AND_HASH_MATCH,+0.26
game_load.repeated_display_boosted,leaf,PASS,PASS,60315b1c33b6a325,60315b1c33b6a325,49990,48607,OUTCOME_AND_HASH_MATCH,+2.77
game_load.s3tc_sync_factor,group,PASS,PASS,db28300321744de5,db28300321744de5,,,OUTCOME_AND_HASH_MATCH,
game_load.s3tc_sync_factor.bc2_bordered_fallback,leaf,PASS,PASS,db28300321744de5,db28300321744de5,49919,49925,OUTCOME_AND_HASH_MATCH,-0.01
game_load.s3tc_sync_factor.bc2_native_eligible,leaf,PASS,PASS,3403675459d4d3d5,3403675459d4d3d5,16518,16748,OUTCOME_AND_HASH_MATCH,-1.39
game_load.s3tc_sync_factor.bc3_bordered_fallback,leaf,PASS,PASS,db28300321744de5,db28300321744de5,49538,49913,OUTCOME_AND_HASH_MATCH,-0.76
game_load.s3tc_sync_factor.bc3_native_eligible,leaf,PASS,PASS,3403675459d4d3d5,3403675459d4d3d5,16717,16607,OUTCOME_AND_HASH_MATCH,+0.66
game_load.s3tc_sync_factor.dxt1_dirty_once_redraw,leaf,PASS,PASS,428c04bbb0a62725,428c04bbb0a62725,16639,16638,OUTCOME_AND_HASH_MATCH,+0.01
game_load.s3tc_sync_factor.dxt1_ring_payload_generations,leaf,PASS,PASS,3403675459d4d3d5,3403675459d4d3d5,16656,16602,OUTCOME_AND_HASH_MATCH,+0.32
game_load.s3tc_sync_factor.dxt1_same_address_queued,leaf,PASS,PASS,863b706a952623a7,15d2673a2b6472c5,16777,16722,HASH_INELIGIBLE_OUTCOME_MATCH,+0.33
game_load.s3tc_sync_factor.dxt1_same_address_wait,leaf,PASS,PASS,3403675459d4d3d5,3403675459d4d3d5,16763,16678,OUTCOME_AND_HASH_MATCH,+0.51
game_load.s3tc_sync_factor.rgba8_dirty_once_redraw,leaf,PASS,PASS,428c04bbb0a62725,428c04bbb0a62725,16557,16579,OUTCOME_AND_HASH_MATCH,-0.13
