renderer,test_id,kind,parent_outcome,candidate_outcome,parent_framebuffer_fnv1a64,candidate_framebuffer_fnv1a64,comparison,raw_direction,parent_median_us,candidate_median_us,improvement_pct
opengl,game_load.doax_menu_representative.pfifo_only,leaf,PASS,PASS,db52eb2ea2ee6325,db52eb2ea2ee6325,OUTCOME_AND_HASH_MATCH,+bad,2423,2311,+4.62
opengl,game_load.doax_menu_representative.gpu_only,leaf,PASS,PASS,fbd6d6be7f982325,fbd6d6be7f982325,OUTCOME_AND_HASH_MATCH,+bad,16098,16315,-1.35
opengl,game_load.doax_menu_representative.streaming_only,leaf,PASS,PASS,f94303d175056325,f94303d175056325,OUTCOME_AND_HASH_MATCH,+bad,4984,4784,+4.01
opengl,game_load.doax_menu_representative.cpu_pfifo_gpu,leaf,PASS,PASS,04157941d1aa6325,04157941d1aa6325,OUTCOME_AND_HASH_MATCH,+bad,31767,32031,-0.83
opengl,game_load.doax_menu_representative.cpu_pfifo_gpu_streaming,leaf,PASS,PASS,e6d7900d809f6325,e6d7900d809f6325,OUTCOME_AND_HASH_MATCH,+bad,35095,35163,-0.19
opengl,game_load.doax_menu_representative.full_system,leaf,PASS,PASS,3ebb8ee340a52325,3ebb8ee340a52325,OUTCOME_AND_HASH_MATCH,+bad,34911,35385,-1.36
opengl,game_load.doax_menu_stress.cpu_only,leaf,PASS,PASS,312802588e58a325,312802588e58a325,OUTCOME_AND_HASH_MATCH,+bad,26910,27547,-2.37
opengl,game_load.doax_menu_stress.pfifo_only,leaf,PASS,PASS,6251472ce3a6e325,6251472ce3a6e325,OUTCOME_AND_HASH_MATCH,+bad,4683,4689,-0.13
opengl,game_load.doax_menu_stress.gpu_only,leaf,PASS,PASS,30126b41ecb96325,30126b41ecb96325,OUTCOME_AND_HASH_MATCH,+bad,31736,31793,-0.18
opengl,game_load.doax_menu_stress.streaming_only,leaf,PASS,PASS,5b922e3ee1312325,5b922e3ee1312325,OUTCOME_AND_HASH_MATCH,+bad,8550,9315,-8.95
opengl,game_load.doax_menu_stress.cpu_pfifo_gpu,leaf,PASS,PASS,c94959246d55a325,c94959246d55a325,OUTCOME_AND_HASH_MATCH,+bad,63425,63767,-0.54
opengl,game_load.doax_menu_stress.cpu_pfifo_gpu_streaming,leaf,PASS,PASS,5dbf320b91a86325,5dbf320b91a86325,OUTCOME_AND_HASH_MATCH,+bad,68234,69221,-1.45
opengl,game_load.doax_menu_stress.full_system,leaf,PASS,PASS,545f7965debce325,545f7965debce325,OUTCOME_AND_HASH_MATCH,+bad,68284,69757,-2.16
opengl,game_load.pgr2_ai_backup.cpu_only,leaf,PASS,PASS,e086b0a920c42325,e086b0a920c42325,OUTCOME_AND_HASH_MATCH,+bad,42090,42684,-1.41
opengl,game_load.pgr2_ai_backup.pfifo_only,leaf,PASS,PASS,5bc1b07714da2325,5bc1b07714da2325,OUTCOME_AND_HASH_MATCH,+bad,15100,14722,+2.50
opengl,game_load.pgr2_ai_backup.gpu_only,leaf,PASS,PASS,f8348ac6eeaaa325,f8348ac6eeaaa325,OUTCOME_AND_HASH_MATCH,+bad,82897,82479,+0.50
opengl,game_load.pgr2_ai_backup.streaming_only,leaf,PASS,PASS,f43007e31b972325,f43007e31b972325,OUTCOME_AND_HASH_MATCH,+bad,3555,3523,+0.90
opengl,game_load.pgr2_ai_backup.cpu_pfifo_gpu,leaf,PASS,PASS,48c0585f003ea325,48c0585f003ea325,OUTCOME_AND_HASH_MATCH,+bad,139153,139990,-0.60
opengl,game_load.pgr2_ai_backup.cpu_pfifo_gpu_streaming,leaf,PASS,PASS,e0430415b6dbe325,e0430415b6dbe325,OUTCOME_AND_HASH_MATCH,+bad,141754,142061,-0.22
opengl,game_load.pgr2_ai_backup.full_system,leaf,PASS,PASS,cb91c33db5046325,cb91c33db5046325,OUTCOME_AND_HASH_MATCH,+bad,141401,142513,-0.79
opengl,high_vertex_count.arrays,leaf,PASS,PASS,a27c67890c2d9083,a27c67890c2d9083,OUTCOME_AND_HASH_MATCH,+bad,68,87,-27.94
opengl,high_vertex_count.inline_arrays,leaf,PASS,PASS,a27c67890c2d9083,a27c67890c2d9083,OUTCOME_AND_HASH_MATCH,+bad,41124,41197,-0.18
opengl,high_vertex_count.inline_buffers,leaf,PASS,PASS,a27c67890c2d9083,a27c67890c2d9083,OUTCOME_AND_HASH_MATCH,+bad,209880,207514,+1.13
opengl,high_vertex_count.inline_elements,leaf,PASS,PASS,a27c67890c2d9083,a27c67890c2d9083,OUTCOME_AND_HASH_MATCH,+bad,3947,3969,-0.56
opengl,pfifo_array_elements.array_element_pgr2,leaf,PASS,PASS,bbc8b0702ffd0325,bbc8b0702ffd0325,OUTCOME_AND_HASH_MATCH,+bad,1225,1212,+1.06
opengl,pfifo_array_elements.array_element16,leaf,PASS,PASS,9c884de2a5d32325,9c884de2a5d32325,OUTCOME_AND_HASH_MATCH,+bad,1345,1351,-0.45
opengl,pfifo_array_elements.array_element32,leaf,PASS,PASS,e079f0cf1a994325,e079f0cf1a994325,OUTCOME_AND_HASH_MATCH,+bad,1331,1338,-0.53
opengl,pfifo_packet_boundary.array_element16_overflow,leaf,PASS,PASS,4d1756526f052325,4d1756526f052325,OUTCOME_AND_HASH_MATCH,+bad,15486,15110,+2.43
opengl,pfifo_packet_boundary.array_element32_overflow,leaf,PASS,PASS,6eb7071be692a325,6eb7071be692a325,OUTCOME_AND_HASH_MATCH,+bad,30311,30008,+1.00
opengl,pfifo_packet_boundary.inline_array_overflow,leaf,PASS,PASS,847da1930526a325,847da1930526a325,OUTCOME_AND_HASH_MATCH,+bad,30871,29095,+5.75
opengl,pfifo_packet_boundary.incrementing_inline_fallback,leaf,PASS,PASS,640439ee8ecd2325,640439ee8ecd2325,OUTCOME_AND_HASH_MATCH,+bad,432,408,+5.56
opengl,texture_cubemap_fallback.unbordered_subblock_dxt1,leaf,FAIL,FAIL,0a68f0aa371576a5,0a68f0aa371576a5,OUTCOME_AND_HASH_MATCH,,16631,16695,
opengl,pipeline_texture_switch.clear_texture_normal,leaf,PASS,PASS,22ba4f1405cda325,22ba4f1405cda325,OUTCOME_AND_HASH_MATCH,+bad,9414,9248,+1.76
opengl,pipeline_texture_switch.palette_dma_remap,leaf,PASS,PASS,fbf687de65082325,fbf687de65082325,OUTCOME_AND_HASH_MATCH,+bad,18755,14659,+21.84
opengl,pipeline_texture_switch.palette_only_update,leaf,PASS,PASS,467aab2f95cda325,467aab2f95cda325,OUTCOME_AND_HASH_MATCH,+bad,17992,17419,+3.18
