renderer,test_id,kind,parent_outcome,candidate_outcome,parent_framebuffer_fnv1a64,candidate_framebuffer_fnv1a64,comparison,raw_direction,parent_median_us,candidate_median_us,improvement_pct
opengl,game_load.s3tc_sync_factor.bc3_bordered_fallback,leaf,PASS,PASS,3403675459d4d3d5,3403675459d4d3d5,OUTCOME_AND_HASH_MATCH,+bad,50014,50003,+0.02
opengl,game_load.s3tc_sync_factor,group,PASS,PASS,3403675459d4d3d5,3403675459d4d3d5,OUTCOME_AND_HASH_MATCH,,,,
opengl,game_load.repeated_display,leaf,PASS,PASS,e758dbbf4edc2325,e758dbbf4edc2325,OUTCOME_AND_HASH_MATCH,+bad,16650,16630,+0.12
opengl,game_load.repeated_display_boosted,leaf,PASS,PASS,60315b1c33b6a325,60315b1c33b6a325,OUTCOME_AND_HASH_MATCH,+bad,50184,50040,+0.29
opengl,game_load.doax_menu_representative.cpu_only,leaf,PASS,PASS,c9ffff20249e2325,c9ffff20249e2325,OUTCOME_AND_HASH_MATCH,+bad,13576,13701,-0.92
opengl,game_load.doax_menu_representative.pfifo_only,leaf,PASS,PASS,db52eb2ea2ee6325,db52eb2ea2ee6325,OUTCOME_AND_HASH_MATCH,+bad,2423,2367,+2.31
opengl,game_load.doax_menu_representative.gpu_only,leaf,PASS,PASS,fbd6d6be7f982325,fbd6d6be7f982325,OUTCOME_AND_HASH_MATCH,+bad,16098,16101,-0.02
opengl,game_load.doax_menu_representative.streaming_only,leaf,PASS,PASS,f94303d175056325,f94303d175056325,OUTCOME_AND_HASH_MATCH,+bad,4984,4784,+4.01
opengl,game_load.doax_menu_representative.cpu_pfifo_gpu,leaf,PASS,PASS,04157941d1aa6325,04157941d1aa6325,OUTCOME_AND_HASH_MATCH,+bad,31767,31635,+0.42
opengl,game_load.doax_menu_representative.cpu_pfifo_gpu_streaming,leaf,PASS,PASS,e6d7900d809f6325,e6d7900d809f6325,OUTCOME_AND_HASH_MATCH,+bad,35095,34903,+0.55
opengl,game_load.doax_menu_representative.full_system,leaf,PASS,PASS,3ebb8ee340a52325,3ebb8ee340a52325,OUTCOME_AND_HASH_MATCH,+bad,34911,34333,+1.66
opengl,game_load.doax_menu_stress.cpu_only,leaf,PASS,PASS,312802588e58a325,312802588e58a325,OUTCOME_AND_HASH_MATCH,+bad,26910,27216,-1.14
opengl,game_load.doax_menu_stress.pfifo_only,leaf,PASS,PASS,6251472ce3a6e325,6251472ce3a6e325,OUTCOME_AND_HASH_MATCH,+bad,4683,4674,+0.19
opengl,game_load.doax_menu_stress.gpu_only,leaf,PASS,PASS,30126b41ecb96325,30126b41ecb96325,OUTCOME_AND_HASH_MATCH,+bad,31736,31812,-0.24
opengl,game_load.doax_menu_stress.streaming_only,leaf,PASS,PASS,5b922e3ee1312325,5b922e3ee1312325,OUTCOME_AND_HASH_MATCH,+bad,8550,8736,-2.18
opengl,game_load.doax_menu_stress.cpu_pfifo_gpu,leaf,PASS,PASS,c94959246d55a325,c94959246d55a325,OUTCOME_AND_HASH_MATCH,+bad,63425,63330,+0.15
opengl,game_load.doax_menu_stress.cpu_pfifo_gpu_streaming,leaf,PASS,PASS,5dbf320b91a86325,5dbf320b91a86325,OUTCOME_AND_HASH_MATCH,+bad,68234,68586,-0.52
opengl,game_load.doax_menu_stress.full_system,leaf,PASS,PASS,545f7965debce325,545f7965debce325,OUTCOME_AND_HASH_MATCH,+bad,68284,69190,-1.33
opengl,game_load.pgr2_ai_backup.cpu_only,leaf,PASS,PASS,e086b0a920c42325,e086b0a920c42325,OUTCOME_AND_HASH_MATCH,+bad,42090,42458,-0.87
